,Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
66,男,31~40,偏胖的,(空),-1,1,2,1,1,2,1,1,1,3,-2,1
67,男,41~50,均匀的,教师,1,-1,2,1,2,3,2,1,2,2,2,1
68,女,18~25,偏胖的,行銷企劃,-2,-3,-1,-3,1,1,-3,2,-1,-1,2,2
69,女,18~25,偏胖的,設計師,-1,3,-1,-3,-3,-3,-3,-3,-3,-3,-3,2
70,女,18~25,偏瘦的,学生,1,-3,-1,2,2,-1,1,3,-3,3,3,2
71,女,18~25,均匀的,财务会计,1,-2,-2,3,-1,-2,1,-1,-1,-1,-1,2
72,女,18~25,均匀的,学生,1,1,-1,-1,1,-1,-2,3,-1,-1,-2,2
73,女,26~30,均匀的,設計,-2,-3,-2,-1,1,1,-1,1,-2,-3,-2,2
74,女,26~30,偏胖的,服装,1,-3,2,2,1,-1,-1,1,-1,2,-2,2
75,女,26~30,均匀的,教师,-1,-2,-1,1,-2,-2,-1,1,-2,2,1,2
76,女,26~30,均匀的,医师,-2,-1,-1,-1,-1,-2,-1,2,-1,2,1,2
77,女,26~30,偏胖的,医学,2,-2,2,2,2,1,2,2,1,2,2,2
78,女,26~30,均匀的,服装,1,-1,1,-1,1,1,-1,1,1,-1,-1,2
79,女,26~30,均匀的,服装设计,-2,-2,-1,2,-1,-2,1,-1,-1,1,-2,2
80,女,26~30,均匀的,纺织研究助理,-2,1,-3,-2,-1,-1,-2,-2,-3,-1,-3,2
81,女,31~40,偏瘦的,(空),-3,1,-3,-3,-1,-3,-3,3,-3,-3,-3,2
82,女,31~40,均匀的,(空),-1,-3,-1,-1,1,-1,1,-1,-3,-2,-3,2
83,女,31~40,均匀的,教师,1,-1,2,-1,-1,-2,-1,-1,-2,1,-2,2
84,女,31~40,偏胖的,教育,-2,3,2,-1,-2,-2,1,3,-1,1,-2,2
85,男,18~25,均匀的,master of school of architecture,-2,-2,-1,-1,-3,3,1,2,-1,-3,-2,2
86,男,18~25,偏瘦的,广告,-1,-1,-2,-3,1,1,-1,-1,-1,-3,-3,2
87,男,18~25,均匀的,学生,-1,-2,-1,2,-1,-1,-1,1,1,-1,-2,2
88,男,18~25,均匀的,学生,1,-3,1,-1,1,1,1,-1,-1,1,1,2
89,男,18~25,均匀的,学生,-1,1,-1,-2,2,-1,-1,3,-2,3,3,2
90,男,18~25,均匀的,学生,-1,-2,-1,1,-1,-2,1,1,-2,-2,-1,2
91,男,18岁以下,偏瘦的,本科在校学生,1,-1,1,-1,-1,-1,-1,3,2,2,3,2
92,男,26~30,偏胖的,学生,-1,1,1,-2,-2,-1,1,1,-1,2,1,2
93,男,26~30,均匀的,颜色科学,-2,2,-2,-3,-3,-3,-2,-2,-2,-2,-2,2
94,男,26~30,偏胖的,(空),-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,2
95,男,26~30,偏瘦的,design master,-2,-2,1,-2,-2,-2,2,1,-1,-2,-2,2
