,Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
226,男,18~25,均匀的,学生,-2,2,-1,-1,-2,-3,2,-1,-3,-2,-1,6
227,男,18岁以下,偏瘦的,本科在校学生,1,2,1,-2,-1,-1,1,1,1,-1,-1,6
228,男,26~30,偏胖的,学生,2,2,3,1,3,1,1,-2,1,1,2,6
229,男,26~30,均匀的,颜色科学,2,3,3,-1,-2,-2,-2,1,1,1,1,6
230,男,26~30,偏胖的,(空),1,3,1,1,1,-1,1,1,-1,-2,-1,6
231,男,26~30,偏瘦的,design master,-2,2,2,1,-2,-2,2,-1,-2,2,2,6
232,男,31~40,偏胖的,工业设计,-1,2,1,-1,-1,-1,1,1,2,1,1,6
233,男,31~40,偏胖的,教師,-2,-2,-1,-1,-1,1,-1,1,-1,-1,-2,6
234,男,31~40,偏胖的,(空),1,2,2,1,1,1,-1,1,1,-1,-1,6
235,男,31~40,偏胖的,design phd,-1,2,1,2,2,2,-1,1,1,-2,-1,6
236,男,31~40,偏胖的,(空),2,1,2,1,2,3,-1,1,2,2,-1,6
237,男,41~50,均匀的,教师,1,2,2,1,-2,-1,1,1,2,-2,-2,6
238,女,18~25,偏胖的,行銷企劃,-2,3,1,1,-1,2,-3,-2,3,-2,-3,7
239,女,18~25,偏胖的,設計師,1,3,1,-1,2,2,-2,-2,3,-2,1,7
240,女,18~25,偏瘦的,学生,2,3,-1,1,1,1,1,1,-1,1,-1,7
241,女,18~25,均匀的,财务会计,-1,1,-1,3,1,2,1,1,1,1,-1,7
242,女,18~25,均匀的,学生,2,3,2,3,-1,2,1,2,1,1,-1,7
243,女,26~30,均匀的,設計,2,2,3,1,2,2,1,1,3,-3,1,7
244,女,26~30,偏胖的,服装,-2,3,-2,2,1,-1,-2,1,1,1,2,7
245,女,26~30,均匀的,教师,1,3,-1,1,2,2,1,1,-1,-2,-1,7
246,女,26~30,均匀的,医师,-1,3,1,-1,1,1,1,-1,-2,-3,-2,7
247,女,26~30,偏胖的,医学,3,2,3,3,3,3,3,3,3,3,3,7
248,女,26~30,均匀的,服装,1,2,1,-1,-1,1,1,1,1,-1,1,7
249,女,26~30,均匀的,服装设计,2,3,1,1,1,2,1,1,3,-3,-3,7
250,女,26~30,均匀的,纺织研究助理,1,2,2,2,1,3,1,-1,3,-2,1,7
251,女,31~40,偏瘦的,(空),-1,2,2,2,2,3,1,-3,3,-3,-3,7
252,女,31~40,均匀的,(空),1,2,2,1,2,3,2,-2,3,-3,1,7
253,女,31~40,均匀的,教师,-1,2,1,-1,1,-1,1,1,-1,1,1,7
254,女,31~40,偏胖的,教育,-2,3,2,1,2,3,-2,1,2,1,1,7
255,男,18~25,均匀的,master of school of architecture,2,3,1,2,2,-1,1,2,1,-1,1,7
256,男,18~25,偏瘦的,广告,1,1,1,1,1,1,1,-1,3,-2,-2,7
257,男,18~25,均匀的,学生,1,-1,2,1,-1,-1,-1,1,1,1,1,7
258,男,18~25,均匀的,学生,2,3,2,1,2,1,2,1,-1,1,1,7
259,男,18~25,均匀的,学生,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,7
260,男,18~25,均匀的,学生,-2,3,-1,-2,-1,-2,-1,1,-2,-1,-1,7
261,男,18岁以下,偏瘦的,本科在校学生,1,-1,1,1,1,1,1,1,-1,-1,-2,7
262,男,26~30,偏胖的,学生,2,2,2,2,2,2,-1,1,3,-1,-1,7
263,男,26~30,均匀的,颜色科学,3,3,3,3,3,3,3,3,3,2,3,7
264,男,26~30,偏胖的,(空),2,3,-1,2,2,1,2,1,-1,-1,-1,7
265,男,26~30,偏瘦的,design master,-2,3,2,-2,-1,2,-2,-1,2,-1,-2,7
266,男,31~40,偏胖的,工业设计,3,3,2,1,3,3,3,1,3,-1,-1,7
267,男,31~40,偏胖的,教師,-1,3,-1,1,-1,-2,-1,2,-1,-1,-1,7
268,男,31~40,偏胖的,(空),2,3,2,2,2,2,-2,2,2,-1,1,7
269,男,31~40,偏胖的,design phd,-1,3,2,3,2,3,1,-2,2,-2,-2,7
270,男,31~40,偏胖的,(空),-1,-1,1,2,1,1,-1,-2,-2,-2,1,7
271,男,41~50,均匀的,教师,1,3,2,1,1,1,-1,1,3,-2,-3,7
272,女,18~25,偏胖的,行銷企劃,2,3,2,-2,-2,-3,1,-3,3,-3,-3,8
273,女,18~25,偏胖的,設計師,1,1,2,-3,1,1,-3,-3,3,-3,-3,8
274,女,18~25,偏瘦的,学生,1,3,-1,1,1,-1,1,-1,-1,1,-2,8
275,女,18~25,均匀的,财务会计,2,1,-1,3,-1,-1,2,1,1,1,3,8
276,女,18~25,均匀的,学生,3,-1,-1,3,3,3,1,3,-1,3,3,8
277,女,26~30,均匀的,設計,1,2,1,1,2,1,1,-1,2,-3,-1,8
278,女,26~30,偏胖的,服装,-2,3,-2,2,2,1,-1,1,2,-1,2,8
279,女,26~30,均匀的,教师,2,2,-2,2,-3,-3,3,-1,-1,3,1,8
280,女,26~30,均匀的,医师,2,1,-2,1,-1,-2,2,-2,2,2,3,8
281,女,26~30,偏胖的,医学,-2,3,-2,-2,2,-2,-2,-2,2,-2,-2,8
282,女,26~30,均匀的,服装,1,2,1,-1,1,1,1,-2,2,-2,-2,8
283,女,26~30,均匀的,服装设计,3,-1,3,3,2,3,3,1,2,-3,-3,8
284,女,26~30,均匀的,纺织研究助理,2,2,3,3,1,2,3,1,1,-2,2,8
